﻿Year,Petroleum Products Exported,المنتجات البترولية المصدرة للخارج,"(,000) U.S. Barrel"
2017,Naphtha,نفـثا,13379.0
2019,Naphtha,نفـثا,15353.0
2020,Naphtha,نفـثا,14579.0
2020,Gasoline,غازولين,0.0
2021,Gasoline,غازولين,0.0
2017,L.P.G.Lube Base Oil,زيت التشحيم,891.0
2021,L.P.G.Lube Base Oil,زيت التشحيم,1559.0
2017,Asphalt,أسفلت,1557.0
2018,Asphalt,أسفلت,1480.0
2018,Fuel Oil,زيت الوقود,16975.0
2017,Diesel,الديزل,28522.0
2018,Diesel,الديزل,26020.0
2019,Diesel,الديزل,27994.0
2020,Diesel,الديزل,26519.0
2021,Diesel,الديزل,30752.0
2018,Jet Fuel,وقود الطائرات,19880.0
2021,Lube Oil Feedstock,لقيم زيت التشحيم,2917.0
2020,Propane,بروبان,254.0
2021,Propane,بروبان,154.0
2017,Butane,بيوتان,368.0
2017,Sulphur,الكبريت,458.0
2018,Sulphur,الكبريت,438.0
2020,Sulphur,الكبريت,435.0
2018,Naphtha,نفـثا,16038.0
2018,Gasoline,غازولين,0.0
2020,L.P.G.Lube Base Oil,زيت التشحيم,1498.0
2020,Asphalt,أسفلت,1820.0
2021,Asphalt,أسفلت,917.0
2019,Fuel Oil,زيت الوقود,17808.0
2019,Lube Oil Feedstock,لقيم زيت التشحيم,2470.0
2018,Propane,بروبان,424.0
2018,Butane,بيوتان,344.0
2019,Butane,بيوتان,378.0
2019,Sulphur,الكبريت,425.0
2021,Sulphur,الكبريت,430.0
2021,Naphtha,نفـثا,14656.0
2017,Gasoline,غازولين,168.0
2019,Gasoline,غازولين,0.0
2018,L.P.G.Lube Base Oil,زيت التشحيم,1596.0
2019,L.P.G.Lube Base Oil,زيت التشحيم,1233.0
2019,Asphalt,أسفلت,1738.0
2017,Fuel Oil,زيت الوقود,18385.0
2020,Fuel Oil,زيت الوقود,12960.0
2021,Fuel Oil,زيت الوقود,14731.0
2017,Jet Fuel,وقود الطائرات,20806.0
2019,Jet Fuel,وقود الطائرات,19679.0
2020,Jet Fuel,وقود الطائرات,16067.0
2021,Jet Fuel,وقود الطائرات,11900.0
2017,Lube Oil Feedstock,لقيم زيت التشحيم,2553.0
2018,Lube Oil Feedstock,لقيم زيت التشحيم,2029.0
2020,Lube Oil Feedstock,لقيم زيت التشحيم,2410.0
2017,Propane,بروبان,404.0
2019,Propane,بروبان,347.0
2020,Butane,بيوتان,267.0
2021,Butane,بيوتان,181.0
